Enregistrer votre voix,Texte transcrit,flag,username,timestamp
/Users/klim/IA04_LLM/IA04_Jetson/flagged/Enregistrer votre voix/1b5622ca4dab8ae24ce0433aae90b79e94c44707/tmphqien9la.wav,Veuillez enregistrer ou charger un fichier audio.,,,2026-04-24 16:10:45.226073
/Users/klim/IA04_LLM/IA04_Jetson/flagged/Enregistrer votre voix/95a704a41764b9503567a0e14ef426644c3bfb5d/tmp_l7njm_g.wav,Veuillez enregistrer ou charger un fichier audio.,,,2026-04-24 16:11:30.613052
